,,Elijah McGuire,RB73,4,NYJ,,2#
,,Kansas City (KC),DST19,12,,,2#
,,Jason Myers,K14,11,SEA,,2#
,,Dwayne Haskins,QB32,10,WAS,,2#
,,John Ross,WR86,9,CIN,,2#
,,Kenneth Dixon,RB74,8,BAL,,2#
,,Willie Snead,WR87,8,BAL,,2#
,,Paul Richardson,WR88,10,WAS,,2#
,,Josh Rosen,QB33,5,MIA,,2#
,,Danny Amendola,WR89,5,DET,,2#
,,Theo Riddick,RB75,10,DEN,,2#
,,Case Keenum,QB34,10,WAS,,2#
,,Carolina (CAR),DST20,7,,,2#
,,Graham Gano,K15,7,CAR,,2#
,,J.J. Arcega-Whiteside,WR90,10,PHI,,2#
,,Gerald Everett,TE27,9,LAR,,2#
,,Benny Snell Jr.,RB76,7,PIT,,2#
,,Miles Boykin,WR91,8,BAL,,2#
,,Antonio Callaway,WR92,7,CLE,,2#
,,Corey Clement,RB77,10,PHI,,2#
,,Josh Doctson,WR93,10,WAS,,2#
,,Jason Witten,TE28,8,DAL,,2#
,,Green Bay (GB),DST21,11,,,2#
,,Atlanta (ATL),DST22,9,,,2#
,,Aldrick Rosas,K16,11,NYG,,2#
,,Chris Boswell,K17,7,PIT,,2#
,,Dexter Williams,RB78,11,GB,,2#
,,Daniel Jones,QB35,11,NYG,,2#
,,Josh Reynolds,WR94,9,LAR,,2#
,,Chris Conley,WR95,10,JAC,,2#
,,Alfred Blue,RB79,10,JAC,,2#
,,Keelan Cole,WR96,10,JAC,,2#
,,Terry McLaurin,WR97,10,WAS,,2#
,,Dontrell Hilliard,RB80,7,CLE,,2#
,,KeeSean Johnson,WR98,12,ARI,,2#
,,Cameron Brate,TE29,7,TB,,2#
,,Ryan Succop,K18,11,TEN,,2#
,,Jordan Wilkins,RB81,6,IND,,2#
,,Wayne Gallman,RB82,11,NYG,,284,Barkley handc#
,,Giorgio Tavecchio,K19,9,ATL,,2#
,,Phillip Dorsett,WR99,10,NE,,2#
,,Ian Thomas,TE30,7,CAR,,2#
,,Jalen Hurd,WR100,4,SF,,2#
,,Dan Bailey,K20,12,MIN,,2#
,,Brandon McManus,K21,10,DEN,,2#
,,Devontae Booker,RB83,10,DEN,,2#
,,Doug Martin,RB84,6,OAK,,2#
,,Dare Ogunbowale,RB85,7,TB,,2#
,,Arizona (ARI),DST23,12,,,2#
,,Brian Hill,RB86,9,ATL,,2#
,,Josh Lambo,K22,10,JAC,,2#
,,Washington (WAS),DST24,10,,,2#
,,Damarea Crockett,RB87,10,HOU,,2#
,,Ryan Tannehill,QB36,11,TEN,,2#
,,Josh Adams,RB88,10,PHI,,3#
